,image1,image2,win1,win2,tie
0,train-15942.jpg,train-23543.jpg,1,9,0
1,train-23505.jpg,test-05395.jpg,7,3,0
2,train-17826.jpg,train-31215.jpg,6,4,0
3,test-01855.jpg,train-10239.jpg,10,0,0
4,train-24501.jpg,test-01021.jpg,9,0,1
5,train-22592.jpg,train-03103.jpg,6,0,4
6,train-08740.jpg,test-08082.jpg,1,8,1
7,train-07350.jpg,train-09857.jpg,1,9,0
8,train-08940.jpg,train-23370.jpg,1,9,0
9,test-04746.jpg,train-25230.jpg,6,4,0
10,test-03536.jpg,train-20793.jpg,1,9,0
11,train-21807.jpg,train-21064.jpg,9,0,1
12,train-31186.jpg,train-06488.jpg,7,3,0
13,train-05418.jpg,train-20512.jpg,9,1,0
14,train-27441.jpg,train-06465.jpg,4,6,0
15,train-06955.jpg,train-01361.jpg,10,0,0
16,test-02102.jpg,test-00879.jpg,0,6,3
17,test-01451.jpg,train-13756.jpg,0,7,3
18,train-17387.jpg,test-04469.jpg,4,5,1
19,train-28328.jpg,train-27657.jpg,1,8,1
20,train-04072.jpg,test-00367.jpg,1,9,0
21,train-12251.jpg,train-26715.jpg,8,2,0
22,train-20501.jpg,test-07511.jpg,7,2,1
23,train-31655.jpg,train-11702.jpg,10,0,0
24,train-06848.jpg,train-12613.jpg,3,6,1
25,train-21848.jpg,test-00851.jpg,6,4,0
26,train-18619.jpg,train-03027.jpg,3,7,0
27,train-14644.jpg,train-20142.jpg,1,9,0
28,train-17009.jpg,train-14016.jpg,5,3,2
29,train-05996.jpg,train-07897.jpg,0,7,3
30,train-21598.jpg,train-20018.jpg,0,10,0
31,train-04863.jpg,train-28214.jpg,8,1,0
32,test-06144.jpg,train-05292.jpg,9,1,0
33,train-03448.jpg,train-29795.jpg,0,8,2
34,train-15088.jpg,train-24718.jpg,1,9,0
35,test-02048.jpg,train-23907.jpg,5,5,0
36,train-24251.jpg,train-31807.jpg,5,5,0
37,train-10165.jpg,train-08470.jpg,5,5,0
38,train-14051.jpg,test-06714.jpg,6,0,4
39,train-01100.jpg,train-01266.jpg,8,0,2
40,test-06576.jpg,train-17150.jpg,1,8,1
41,train-21354.jpg,train-26885.jpg,0,10,0
42,test-06063.jpg,train-16447.jpg,1,8,1
43,train-23007.jpg,train-09299.jpg,7,3,0
44,train-23615.jpg,test-03928.jpg,7,2,1
45,train-08490.jpg,test-01335.jpg,0,10,0
46,train-12059.jpg,train-15096.jpg,9,0,1
47,train-28862.jpg,train-31610.jpg,7,3,0
48,train-25063.jpg,train-23916.jpg,0,7,3
49,train-16513.jpg,train-13685.jpg,0,10,0
50,test-04960.jpg,train-10987.jpg,8,2,0
51,train-22687.jpg,train-02816.jpg,7,2,1
52,train-26209.jpg,train-22681.jpg,7,3,0
53,train-25434.jpg,test-02974.jpg,6,1,3
54,train-25076.jpg,train-12527.jpg,8,2,0
55,train-13767.jpg,train-25397.jpg,8,2,0
56,train-25198.jpg,test-00301.jpg,8,2,0
57,test-01953.jpg,test-00508.jpg,2,8,0
58,train-28839.jpg,test-00941.jpg,8,2,0
59,train-27411.jpg,train-06123.jpg,2,8,0
60,train-21257.jpg,train-06830.jpg,5,5,0
61,train-28011.jpg,train-30700.jpg,10,0,0
