row,image1,image2,win1,win2,tie
1,0048a799b1b1999d.jpeg,337b30b094dc4464.jpeg,9,1,0
2,4ca2f2f1f97918c4.jpeg,c141c0e020256562.jpeg,10,0,0
3,0ea9c84146b696dc.jpeg,797ed0c0e2d746d8.jpeg,10,0,0
4,8445b4b4ad60c080.jpeg,cdc92322855f7974.jpeg,0,9,1
5,616175f1f939a596.jpeg,a4a4a4b232b62c10.jpeg,5,0,5
6,6878d899b5a9abf9.jpeg,90706aece58909c8.jpeg,0,10,0
7,7527a2a63c30da8e.jpeg,80c4c1c76ccc18d9.jpeg,8,2,0
8,636571575d155553.jpeg,fefefddce3933ab1.jpeg,10,0,0
9,8e6ad2bbbbb19199.jpeg,f2b2b8b0e0e9e8ec.jpeg,10,0,0
10,707858d474cc8ca8.jpeg,d8ecb8d8b292c3a1.jpeg,2,1,7
11,8b886c4c32789293.jpeg,d0c2480141200804.jpeg,5,2,3
12,7a7b2e7ef08188e4.jpeg,cdc92322855f7974.jpeg,8,2,0
13,86060e1313525b10.jpeg,c6cec8e474362723.png,1,9,0
14,4ca2f2f1f97918c4.jpeg,7327274717bc7258.jpeg,10,0,0
15,534b4b531313637a.jpeg,adcecc011144b939.jpeg,9,1,0
16,2d6371732390d1d6.jpeg,c4c6c6d6863511a6.jpeg,8,0,2
17,2a2ac3ce90a4c726.jpeg,e62ebab5378381e0.jpeg,1,8,1
18,375f7c1e33d5cc68.jpeg,a75558d8ac9c9c98.jpeg,0,10,0
19,32334efef09c8a90.jpeg,767513bb63b546c7.jpeg,10,0,0
20,615f5660e22e4f26.jpeg,bff9ece6fa371f5e.jpeg,0,10,0
21,4146c73716b5b534.jpeg,6565d2fad04c4ec2.jpeg,6,2,2
22,313b4fe8e06b9c60.jpeg,be3c3c3db9654547.jpeg,0,6,4
23,74706b4b040b43a9.jpeg,7cdcd85c8d233331.jpeg,9,1,0
24,34611b8bc3abc9e5.jpeg,f1c4e1735724b0cc.jpeg,8,1,1
25,615f5660e22e4f26.jpeg,f2d49475acf3c5dc.jpeg,3,2,5
26,486c2a898c8a8b8a.jpeg,8328f8d8ccd0fc8e.jpeg,7,2,1
27,2f27c715189898a8.jpeg,636571575d155553.jpeg,2,0,8
28,b3724a1b1b1b1e2e.png,b3939b9b83828590.jpeg,0,10,0
29,2226263a5a4c3901.jpeg,b1990f1bda0d1343.jpeg,10,0,0
30,27a7a2716be0b0b8.jpeg,b199bd95998d9d9d.png,7,3,0
31,03879c302675f74f.jpeg,f3eab293a7e90846.jpeg,10,0,0
32,732d2a7bd9b8fcb5.jpeg,d9cd9c1e38302500.jpeg,6,3,1
33,04763f1793071933.jpeg,2b2635b7a6fcfafb.jpeg,0,9,1
34,a6c6c6be343898c5.jpeg,e3e0f8d4cdce4640.jpeg,5,3,2
35,70605edcf4c3a1cf.jpeg,79b1f1e3e43e6ccd.jpeg,5,4,1
36,091c168ecb36690c.jpeg,0ece4a529a123622.jpeg,3,4,3
37,32334efef09c8a90.jpeg,ca4766520a3f3ef2.jpeg,7,1,2
38,996d9631715c8cb8.jpeg,a9c9e1c8f2a0cc4c.jpeg,9,0,1
39,1a9e98d984c46563.jpeg,f9f8fcadf6ecde34.jpeg,7,2,1
40,1a9e98d984c46563.jpeg,297371c56beb6b4e.jpeg,0,10,0
41,5de72ba98f62f3a3.jpeg,8880a0683a2cf3cd.jpeg,0,10,0
42,4d5513dbd343c313.jpeg,949498cc4ed098b2.png,3,4,3
43,070f0c0d5d142f00.jpeg,185e5aa4d6d88048.jpeg,0,10,0
44,9968ed6c688928ca.jpeg,bff9ece6fa371f5e.jpeg,2,8,0
45,6c688c4d60d14b29.jpeg,70d2c63612747e09.jpeg,10,0,0
46,3f838323b99f3f9c.png,c6d6e69716d69e8c.jpeg,10,0,0
47,66e6e6218dc9e0b9.png,dada3c32a28666a6.jpeg,0,10,0
48,bab3af8a82f293d3.jpeg,ff7b3fdd9f1f3cf0.jpeg,6,2,2
49,6438203030b4b070.jpeg,c353a477b6900a06.jpeg,6,2,2
50,00c0e63edacd4c51.jpeg,e488f0e0f0595592.jpeg,4,4,2
51,679ea1ec6c791d05.jpeg,c8c9d19391c8e8d2.jpeg,10,0,0
52,adcecc011144b939.jpeg,e66e3e96ab976363.jpeg,1,8,1
53,3432390eb6881e92.jpeg,9e9e9fb2f2a72112.jpeg,0,10,0
54,cec7e44cecb574e4.jpeg,e0e86ae4b266e599.jpeg,10,0,0
55,1f1f9e7dbffee2a0.jpeg,f9f8fcadf6ecde34.jpeg,10,0,0
56,0ece4a529a123622.jpeg,63f3a4ac5874c4e4.jpeg,0,10,0
57,18191b7060044770.jpeg,3470c006da9cb645.jpeg,10,0,0
58,044d59694f1a3b0a.jpeg,85ca4ae4c4e3c3c1.jpeg,8,1,1
59,9a18010a30444c35.jpeg,c2d8b0a08ccec680.jpeg,4,6,0
60,c480e060e2666c6c.jpeg,fb9d7b8228694e4a.jpeg,1,5,4
61,7777b4d670a0d21a.jpeg,cdc92322855f7974.jpeg,0,8,2
62,2dd5eab732b293b8.jpeg,4063436371a5a74b.jpeg,0,9,1
63,656769a99cb3a5ac.jpeg,8fc200d9dd1c6c32.jpeg,0,10,0
64,9b9b6e1f7aecf9e8.jpeg,c0c1c3a7965396a6.jpeg,10,0,0
65,087666ea903d7856.jpeg,b18119479772428d.jpeg,0,10,0
66,6677f3cd3e7ef6fe.jpeg,b3b286c6b4b05c6d.jpeg,3,5,2
67,0e1606068d2c0c80.jpeg,109890c2e83a9a89.jpeg,10,0,0
68,8e0b0bfad96f9e31.jpeg,a1408f9b16323535.jpeg,8,1,1
69,05c54565ddd4b437.jpeg,dada3c32a28666a6.jpeg,0,9,1
70,0b2b6fbe6aac80a6.jpeg,18003d5ee6f80069.jpeg,6,1,3
71,3f7574684cb97fd3.jpeg,ecce967b707e77ee.jpeg,4,4,2
72,131322a9c9e99000.jpeg,da9890d9cda736b7.jpeg,0,1,9
73,d26e2d51681909c0.jpeg,d4394985b66ba1a1.jpeg,0,8,2
74,41e737465b73b3f3.jpeg,f2fafcb8da2920e4.jpeg,0,5,5
75,b0f0b8b071f5c1f1.jpeg,c6ece9aa852329cd.jpeg,6,2,2
76,3191dde5a02cc298.jpeg,ff7b3fdd9f1f3cf0.jpeg,9,0,1
77,647cef7ee6eee6f3.jpeg,9d9032732531e8e0.jpeg,10,0,0
78,1d0b20c05212496e.jpeg,3db1a0941a26234b.jpeg,6,1,3
79,c1d78f8883870737.jpeg,d6888ec73918c965.jpeg,7,2,1
80,0e6361ee6b28eccc.jpeg,b2dadb133397060b.jpeg,1,9,0
81,d09599199a933b5c.jpeg,f0e8cc8cb1e9fcdb.jpeg,2,7,1
82,485cb79f9fe88aa6.jpeg,9c38390b19070e86.jpeg,0,10,0
83,72733261b09399d1.png,af5632e6472f8d8f.jpeg,0,10,0
84,679ea1ec6c791d05.jpeg,e4c5c9c9c8a9455c.jpeg,7,2,1
85,18d0c14ccdf39881.jpeg,d61416a2386af078.jpeg,0,10,0
86,7cf0d3eb3ed6f4ec.jpeg,edcbb3336b49b326.jpeg,3,3,4
87,153c34b4d978289c.jpeg,e6e46461eced652d.jpeg,2,8,0
88,222566421391a1a5.jpeg,c04141c0c5013174.jpeg,1,3,6
89,9858d878b8bd7c30.jpeg,dbb3bf1f171f0e46.jpeg,1,8,1
90,b3939b9b83828590.jpeg,cc988ce6cdcd9cb4.jpeg,10,0,0
91,1af0c9aa12963768.jpeg,3d3f276c75b5bebe.png,10,0,0
92,485cb79f9fe88aa6.jpeg,9b9b6e1f7aecf9e8.jpeg,0,10,0
93,4dc919332bd1c3d8.jpeg,67676ed79898886c.jpeg,0,6,4
94,beb85a4652f0747c.jpeg,d3478ebc82ce3609.jpeg,3,4,3
95,c0e16116264d8c20.jpeg,e5c988cbdad8d0b3.jpeg,5,0,5
96,e0d0797e5e16a6ae.jpeg,f1e0e0f9fb6c6d5c.jpeg,10,0,0
97,c8c8c88db2d0f0b0.jpeg,cbe647cd4c31e284.jpeg,1,8,1
98,662e0c63a377fe7e.jpeg,b7c5d96869cbdadb.jpeg,9,0,1
99,3e3e3cfc39397915.jpeg,f976574b1c99db99.jpeg,5,2,3
